nazev,podil
Střížkov,8.994851958
Vysočany,12.9928885
Třeboradice,1.05121587
Čimice,11.65931317
Kobylisy,17.95590069
Hostavice,3.861088481
Újezd nad Lesy,52.11780676
Miškovice,6.04171344
Klánovice,57.23981864
Královice,4.437052763
Vinoř,11.8649307
Březiněves,0.3258050802
Čakovice,5.216807102
Vokovice,40.50306811
Koloděje,15.96410149
Liboc,53.26936616
Suchdol,13.16159574
Kolovraty,7.451299745
Hostivař,23.64848173
Zadní Kopanina,32.48853547
Lipence,5.745474192
Nebušice,18.43970394
Sedlec,20.62472215
Přední Kopanina,20.63015135
Velká Chuchle,32.39578738
Staré Město,3.62929957
Modřany,20.8520644
Dolní Počernice,24.79949994
Kyje,6.331334165
Vyšehrad,27.90381088
Žižkov,14.63716496
Vinohrady,12.57953502
Vršovice,5.495123411
Josefov,0
Újezd u Průhonic,27.42448868
Petrovice,10.54074067
Dejvice,25.97590285
Ruzyně,1.91430157
Pitkovice,9.052741122
Chodov,11.52634868
Michle,18.82708348
Dolní Měcholupy,2.58898053
Strašnice,7.117673209
Uhříněves,7.375155636
Nedvězí u Říčan,6.0101911
Lhotka,7.238362366
Krč,10.57844605
Břevnov,16.97189618
Košíře,33.54105872
Radlice,4.584500765
Libeň,15.91761157
Troja,25.6456312
Hodkovičky,27.45932546
Smíchov,12.83938663
Komořany,37.40919676
Hradčany,35.58935326
Holešovice,13.2825375
Stodůlky,10.32190853
Hlubočepy,16.9488515
Zbraslav,19.35062846
Třebonice,3.949532461
Holyně,18.16653115
Hrdlořezy,24.49576455
Radotín,35.50545386
Motol,28.72162152
Písnice,7.761273696
Libuš,8.15469458
Dubeč,6.35999182
Horní Počernice,6.139900644
Zličín,2.139084638
Točná,40.72639225
Braník,18.09810244
Podolí,11.71292346
Nové Město,5.963190156
Bohnice,34.00208465
Řepy,3.158357887
Střešovice,2.492472809
Benice,7.809502461
Štěrboholy,1.710819132
Kunratice,30.20053107
Dolní Chabry,4.131014326
Letňany,2.931156173
Kbely,3.98878007
Ďáblice,10.01328476
Slivenec,5.752710645
Kamýk,21.13439288
Háje,4.752455739
Bubeneč,26.92199301
Křeslice,12.07968479
Jinonice,27.8512501
Malá Strana,36.1063036
Běchovice,12.40392726
Lysolaje,21.37219604
Cholupice,23.71861985
Sobín,0.4649634075
Šeberov,3.657245447
Horní Měcholupy,2.399639222
Lipany,0.2579214606
Záběhlice,8.085724298
Nusle,7.410754143
Hájek u Uhříněvsi,5.126777604
Malešice,6.209665623
Řeporyje,6.585094588
Malá Chuchle,47.71058264
Černý Most,9.367165835
Satalice,14.36635948
Prosek,6.866483515
Lochkov,20.48184284
Lahovice,0.930448384
Karlín,3.198720843
Hloubětín,11.6595718
Veleslavín,13.98838883